cntry_short,ees_party_id,epees_id_num_new,ees_party_name,comment
AT,1040423,AT_5,NEOS - The New Austria and Liberal Forum | NEOS,
AT,1040600,,Alliance for the Future of Austria | Jetzt – Liste Pilz/ Europa,
BE,1056112,BE_3,Green | Groen,
BE,1056751,,National Front (Belgium) | Front National (FN),
BE,1056900,,Francophone Democratic Federalists | Démocrate Fédéraliste Indépendant (DéFI),
BG,1103001,BG_3,IMRO – Bulgarian National Movement | ???? – ????????? ?????????? ???????? (????),
BG,1100421,BG_5,Will | ????,
BG,1100700,BG_3,National Union Attack (ATAKA/ATA) | ?????????? ???? ????? (?????),
BG,1100100,,Democratic Bulgaria | ???????????? ???????? (??),1seat! coalition
CY,1196423,CY_4,United Democratic Union of Centre | ???? (?????? ???????????????? ????),
CY,1196951,CY_5,National Popular Front | ????,
CY,1196110,,Ecological and Environmental Movement (Cyprus Green Party) | ?????? ?????????,noseats
CZ,1203901,CZ_3,Czech Pirate Party | Pirátská strana (Piráti),
CZ,1203951,CZ_4,Freedom and Direct Democracy Tomio Okamura | Strana p?ímé demokracie Tomio Okamura (SPD),
CZ,1203530,CZ_9,"Tradition, Responsibility, Prosperity 09 (TOP 09) | Tradice Odpov?dnost Prosperita 09  (TOP 09)",
DE,1276521,DE_1,Christian Democratic Union / Christian Social Union | 1 CDU/CSU,
DE,1276951,,Pirates | 7 Piraten,1seat!
DK,1208220,DK_4,Red-Green Unity List | Enhedslisten,
EE,1233810,EE_3,Conservative People's Party of Estonia | Eesti Konservatiivne Rahvaerakond (EKRE),
EE,1233613,EE_4,Union for the Republic -- Res Publica | Isamaa Erakond (Isamaa),
EE,1233420,EE_6,Estonia 200 | Erakond Eesti 200 (Eesti 200),
EE,1233100,,Estonian Greens | Erakond Eestimaa Rohelised (Rohelised),noseats
ES,1724230,ES_4,Podemos (We Can) | Unidas Podemos (UP),
ES,1724955,ES_5,Voice | VOX,
ES,1724010,,Commitment to Europe | Compromís per Europa/Compromiso por Europa,noseats
FR,1250225,FR_5,Unbowed France | France insoumise (LFI),
FR,1250438,FR_1,The Republic Onwards! | La République en Marche (LRM),
FR,1250321,,"Generation.s, the movement | Génération.s",noseats
GR,1300314,GR_5,Panhellenic Socialist Movement/ Movement for Change | ?????? ??????? (?????),
GR,1300323,,The River (Greece) | ?? ??????,noseats
GR,1300611,,Independent Greeks | ??????????? ??????? (????),noseats
HR,1191320,HR_2,Social Democratic Party of Croatia | Socijaldemokratska partija Hrvatske (SDP),
HR,1191951,HR_3,Human Shield | Živi zid,
HR,1191601,HR_4,Bridge of Independent Lists | MOST,
HR,1191901,HR_5,"Party of Anti-corruption, Development and Transparency | START",
HR,1191330,,Milan Bandic 365 -- The Party of Labour and Solidarity | Bandi? Milan 365,noseats
HU,1348330,HU_5,Democratic Coalition | Demokratikus Koalíció (DK),
HU,1348421,HU_1,FIDESZ-KDNP Alliance | Fidesz -Magyar Polgári Szövetség - Kereszténydemokrata Néppárt (FIDESZ-KDNP),
HU,1348220,HU_3,Hungarian Socialist Party | Magyar Szocialista Párt (MSZP),
HU,1348702,HU_6,Our Homeland Movement | Mi Hazánk Mozgalom (MH),
HU,1348430,,Momentum Movement | Momentum Mozgalom,2seats!
IE,1372110,,Green Party | Green Party,2seats!
IE,1372222,,Solidarity - People Before Profit/ | Solidarity - People Before Profit/,noseats
IT,1380610,IT_3,Go Italy | Forza Italia (Fi),
IT,1380211,IT_7,Italian Left | Sinistra,
IT,1380421,IT_6,"More Europe (+Europa) | ""+Europa""",
LT,1440421,,Liberal Movement | Lietuvos Respublikos liberal? s?j?dis  (LS),1seat!
LT,1440524,LT_2,Lithuanian Farmers and Greens Union (LVŽS),
LU,1442901,LU_6,Pirate Party of Luxembourg | Piratepartei (PPL),
LV,1428630,LV_2,New Conservative Party | Jaun? konservat?v? partija,
LV,1428001,LV_6,Development/For! | Att?st?bai/Par!,
LV,1428956,LV_7,Who owns the state? | Politisk? partija KPV LV,
MT,1470401,MT_3,Democratic Party | Partit Demokratiku,
MT,1470100,,Democratic Alternative | Alternattiva Demokratika,noseats
MT,1470951,,Imperium Europa | Imperu Ewropew,noseats
NL,1528528,NL_10, Christian Union | Christen Unie-SGP,
NL,1528661,NL_2,Forum for Democracy | Forum voor Democratie,
PL,1616953,PL_3,Kukiz'15 | Kukiz'15,
PL,1616337,PL_4,Spring | Wiosna Roberta Biedronia,
PL,1616338,,Poland Together | Razem,noseats
PL,,,European Coalition | Koalicja Europejska PO PSL SLD .N Zieloni (KE ),we don't need it we have the separate parties!
PT,1620122,,"Party for Animals and Nature | Pessoas, Animais, Natureza (PAN)",
RO,1642300,RO_2,Social Democratic Party | Partidul Social Democrat (PSD),
RO,1642421,RO_5,Save Romania Union | Uniunea Salva?i România  (USR),
RO,1642402,RO_3,Alliance of Liberals and Democrats | Partidul Alian?a Liberalilor ?i Democra?ilor (ALDE),
RO,1642340,RO_4,PRO Romania | Partidul Pro România (PPR),
RO,1642401,RO_1,National Liberal Party | Partidul Na?ional Liberal (PNL),
RO,1642900,RO_7,Hungarian Democratic Alliance of Romania | Uniunea Democrat? Maghiar? din România (UDMR),
RO,1642503,RO_8,People's Movement Party | Partidul Mi?carea Popular? (PMP),
RO,1642422,RO_6,"PLUS+ Freedom, Unity and Solidarity Party | +PLUS",
RO,,,2020 USR(1642421) -PLUS Alliance(1642422) | Alian?a 2020 USR PLUS (2020 USR PLUS),coalition
SE,1752320,SE_1,Swedish Social Democratic Party (S),
SE,1752420,,Liberal People's Party | Liberalerna (L),
SI,1705010,SI_3,Electoral alliance with Slovenian Democratic Party and Slovenian People's Party | Slovenska demokratska stranka in Slovenska ljudska stranka (SDS in SLS),
SI,1705353,SI_1,List of Marjan Sarec | Lista Marjana Šarca (LMŠ),
SI,1705221,SI_5,The Left | Levica,
SI,1705460,,Party of Miro Cerar | Stranka modernega centra (SMC),noseats
SI,1705480,,Alliance of Alenka Bratusek | Stranka Alenke Bratušek (SAB),noseats
SK,1703957,SK_4,People's Party Our Slovakia | ?udová strana- Naše Slovensko (?SNS),
SK,1703721,SK_5,We are family | Sme rodina,
SK,1703470,SK_2,Electoral alliance Progressive Slovakia and TOGETHER – Civic Democracy | Progresívne Slovensko a SPOLU,
UK,1826955,UK_4,The Brexit Party | The Brexit Party,
UK,1826110,,Green Party | Green Party (GP),